East km,North km,Change in PSI,Year
-2.847308694131858,-3.330000000000126,7,2020
0,-3.330000000000126,14,2020
2.847308694131858,-3.330000000000126,11,2020
-2.847308694131858,0,16,2020
0,0,34,2020
2.847308694131858,0,25,2020
-2.847308694131858,3.330000000000126,13,2020
0,3.330000000000126,27,2020
2.847308694131858,3.330000000000126,20,2020
-2.847308694131858,-3.330000000000126,18,2023
0,-3.330000000000126,37,2023
2.847308694131858,-3.330000000000126,29,2023
-2.847308694131858,0,42,2023
0,0,85,2023
2.847308694131858,0,63,2023
-2.847308694131858,3.330000000000126,35,2023
0,3.330000000000126,71,2023
2.847308694131858,3.330000000000126,54,2023
-2.847308694131858,-3.330000000000126,28,2026
0,-3.330000000000126,59,2026
2.847308694131858,-3.330000000000126,45,2026
-2.847308694131858,0,66,2026
0,0,138,2026
2.847308694131858,0,101,2026
-2.847308694131858,3.330000000000126,54,2026
0,3.330000000000126,113,2026
2.847308694131858,3.330000000000126,86,2026
