fault_id,rank,cumulative_probability,python_ppf_psi,matlab_ppf_psi
DEMO_TX_VARIABLE_FSP_W01_SEG_001,1,0.1,743.288306940784,743.29
DEMO_TX_VARIABLE_FSP_W01_SEG_001,2,0.2,793.7588869993976,793.76
DEMO_TX_VARIABLE_FSP_W01_SEG_001,3,0.3,799.642944950851,799.64
DEMO_TX_VARIABLE_FSP_W01_SEG_001,4,0.4,816.6336276700575,816.63
DEMO_TX_VARIABLE_FSP_W01_SEG_001,5,0.5,829.0681489783756,829.07
DEMO_TX_VARIABLE_FSP_W01_SEG_001,6,0.6,830.4361455254425,830.44
DEMO_TX_VARIABLE_FSP_W01_SEG_001,7,0.7,872.1544352462946,872.15
DEMO_TX_VARIABLE_FSP_W01_SEG_001,8,0.8,889.0908555660935,889.09
DEMO_TX_VARIABLE_FSP_W01_SEG_001,9,0.9,917.111162465799,917.11
DEMO_TX_VARIABLE_FSP_W01_SEG_001,10,1.0,925.049312420597,925.05
DEMO_TX_VARIABLE_FSP_W01_SEG_002,1,0.1,796.5284634484125,796.53
DEMO_TX_VARIABLE_FSP_W01_SEG_002,2,0.2,809.2660485168743,809.27
DEMO_TX_VARIABLE_FSP_W01_SEG_002,3,0.3,822.0739862970343,822.07
DEMO_TX_VARIABLE_FSP_W01_SEG_002,4,0.4,830.1191807105798,830.12
DEMO_TX_VARIABLE_FSP_W01_SEG_002,5,0.5,917.8398489030637,917.84
DEMO_TX_VARIABLE_FSP_W01_SEG_002,6,0.6,934.8619532281078,934.86
DEMO_TX_VARIABLE_FSP_W01_SEG_002,7,0.7,943.227780100653,943.23
DEMO_TX_VARIABLE_FSP_W01_SEG_002,8,0.8,949.310396536732,949.31
DEMO_TX_VARIABLE_FSP_W01_SEG_002,9,0.9,959.2701139355464,959.27
DEMO_TX_VARIABLE_FSP_W01_SEG_002,10,1.0,1045.5907956570989,1045.6
DEMO_TX_VARIABLE_FSP_W01_SEG_003,1,0.1,691.9826998412158,691.98
DEMO_TX_VARIABLE_FSP_W01_SEG_003,2,0.2,692.9299101118133,692.93
DEMO_TX_VARIABLE_FSP_W01_SEG_003,3,0.3,714.7375090851606,714.74
DEMO_TX_VARIABLE_FSP_W01_SEG_003,4,0.4,730.0603695520573,730.06
DEMO_TX_VARIABLE_FSP_W01_SEG_003,5,0.5,730.8879238951102,730.89
DEMO_TX_VARIABLE_FSP_W01_SEG_003,6,0.6,749.7628945336446,749.76
DEMO_TX_VARIABLE_FSP_W01_SEG_003,7,0.7,759.7353993648709,759.74
DEMO_TX_VARIABLE_FSP_W01_SEG_003,8,0.8,769.2406536618034,769.24
DEMO_TX_VARIABLE_FSP_W01_SEG_003,9,0.9,774.6170201697588,774.62
DEMO_TX_VARIABLE_FSP_W01_SEG_003,10,1.0,776.5787039957181,776.58
DEMO_TX_VARIABLE_FSP_W01_SEG_004,1,0.1,793.9171536242226,793.92
DEMO_TX_VARIABLE_FSP_W01_SEG_004,2,0.2,811.5257746934128,811.53
DEMO_TX_VARIABLE_FSP_W01_SEG_004,3,0.3,872.2982581458892,872.3
DEMO_TX_VARIABLE_FSP_W01_SEG_004,4,0.4,949.4112167593136,949.41
DEMO_TX_VARIABLE_FSP_W01_SEG_004,5,0.5,1009.0266986721682,1009.0
DEMO_TX_VARIABLE_FSP_W01_SEG_004,6,0.6,1039.9376080551724,1039.9
DEMO_TX_VARIABLE_FSP_W01_SEG_004,7,0.7,1093.3981086701742,1093.4
DEMO_TX_VARIABLE_FSP_W01_SEG_004,8,0.8,1165.7842114000293,1165.8
DEMO_TX_VARIABLE_FSP_W01_SEG_004,9,0.9,1238.265909963376,1238.3
DEMO_TX_VARIABLE_FSP_W01_SEG_004,10,1.0,1244.0118259903193,1244.0
DEMO_TX_VARIABLE_FSP_W01_SEG_005,1,0.1,1567.6951743144073,1567.7
DEMO_TX_VARIABLE_FSP_W01_SEG_005,2,0.2,1581.2005442027596,1581.2
DEMO_TX_VARIABLE_FSP_W01_SEG_005,3,0.3,1607.1324299355028,1607.1
DEMO_TX_VARIABLE_FSP_W01_SEG_005,4,0.4,1613.0494625450694,1613.0
DEMO_TX_VARIABLE_FSP_W01_SEG_005,5,0.5,1724.970333763108,1725.0
DEMO_TX_VARIABLE_FSP_W01_SEG_005,6,0.6,1728.721489847514,1728.7
DEMO_TX_VARIABLE_FSP_W01_SEG_005,7,0.7,1740.1432280575184,1740.1
DEMO_TX_VARIABLE_FSP_W01_SEG_005,8,0.8,1893.0151453542094,1893.0
DEMO_TX_VARIABLE_FSP_W01_SEG_005,9,0.9,1921.2924477542115,1921.3
DEMO_TX_VARIABLE_FSP_W01_SEG_005,10,1.0,1932.7530481856304,1932.8
