well_id,datenum,rate_bbl_day
SYN_SWD_01,737060.9999884259,0
SYN_SWD_01,737091.9999884259,11200
SYN_SWD_01,737119.9999884259,10800
SYN_SWD_01,737150.9999884259,10400
SYN_SWD_01,737180.9999884259,9800
SYN_SWD_01,737211.9999884259,9400
SYN_SWD_01,737241.9999884259,9000
SYN_SWD_01,737272.9999884259,8800
SYN_SWD_01,737303.9999884259,9000
SYN_SWD_01,737333.9999884259,9600
SYN_SWD_01,737364.9999884259,10200
SYN_SWD_01,737394.9999884259,10800
SYN_SWD_01,737425.9999884259,11000
SYN_SWD_01,737456.9999884259,11200
SYN_SWD_01,737484.9999884259,10800
SYN_SWD_01,737515.9999884259,10400
SYN_SWD_01,737545.9999884259,9800
SYN_SWD_01,737576.9999884259,9400
SYN_SWD_01,737606.9999884259,9000
SYN_SWD_01,737637.9999884259,8800
SYN_SWD_01,737668.9999884259,9000
SYN_SWD_01,737698.9999884259,9600
SYN_SWD_01,737729.9999884259,10200
SYN_SWD_01,737759.9999884259,10800
SYN_SWD_01,737790.9999884259,11000
SYN_SWD_01,737821.9999884259,11200
SYN_SWD_01,737850.9999884259,10800
SYN_SWD_01,737881.9999884259,10400
SYN_SWD_01,737911.9999884259,9800
SYN_SWD_01,737942.9999884259,9400
SYN_SWD_01,737972.9999884259,9000
SYN_SWD_01,738003.9999884259,8800
SYN_SWD_01,738034.9999884259,9000
SYN_SWD_01,738064.9999884259,9600
SYN_SWD_01,738095.9999884259,10200
SYN_SWD_01,738125.9999884259,10800
SYN_SWD_01,738156.9999884259,11000
SYN_SWD_01,738187.9999884259,11200
SYN_SWD_01,738215.9999884259,10800
SYN_SWD_01,738246.9999884259,10400
SYN_SWD_01,738276.9999884259,9800
SYN_SWD_01,738307.9999884259,9400
SYN_SWD_01,738337.9999884259,9000
SYN_SWD_01,738368.9999884259,8800
SYN_SWD_01,738399.9999884259,9000
SYN_SWD_01,738429.9999884259,9600
SYN_SWD_01,738460.9999884259,10200
SYN_SWD_01,738490.9999884259,10800
SYN_SWD_01,738521.9999884259,11000
SYN_SWD_01,738552.9999884259,11200
SYN_SWD_01,738580.9999884259,10800
SYN_SWD_01,738611.9999884259,10400
SYN_SWD_01,738641.9999884259,9800
SYN_SWD_01,738672.9999884259,9400
SYN_SWD_01,738702.9999884259,9000
SYN_SWD_01,738733.9999884259,8800
SYN_SWD_01,738764.9999884259,9000
SYN_SWD_01,738794.9999884259,9600
SYN_SWD_01,738825.9999884259,10200
SYN_SWD_01,738855.9999884259,10800
SYN_SWD_01,738886.9999884259,11000
SYN_SWD_01,738917.9999884259,11200
SYN_SWD_01,738945.9999884259,10800
SYN_SWD_01,738976.9999884259,10400
SYN_SWD_01,739006.9999884259,9800
SYN_SWD_01,739037.9999884259,9400
SYN_SWD_01,739067.9999884259,9000
SYN_SWD_01,739098.9999884259,8800
SYN_SWD_01,739129.9999884259,9000
SYN_SWD_01,739159.9999884259,9600
SYN_SWD_01,739190.9999884259,10200
SYN_SWD_01,739220.9999884259,10800
SYN_SWD_01,739251.9999884259,11000
SYN_SWD_01,739282.9999884259,11200
SYN_SWD_01,739311.9999884259,10800
SYN_SWD_01,739342.9999884259,10400
SYN_SWD_01,739372.9999884259,9800
SYN_SWD_01,739403.9999884259,9400
SYN_SWD_01,739433.9999884259,9000
SYN_SWD_01,739464.9999884259,8800
SYN_SWD_01,739495.9999884259,9000
SYN_SWD_01,739525.9999884259,9600
SYN_SWD_01,739556.9999884259,10200
SYN_SWD_01,739586.9999884259,10800
SYN_SWD_01,739617.9999884259,11000
SYN_SWD_01,739648.9999884259,11200
SYN_SWD_01,739676.9999884259,10800
SYN_SWD_01,739707.9999884259,10400
SYN_SWD_01,739737.9999884259,9800
SYN_SWD_01,739768.9999884259,9400
SYN_SWD_01,739798.9999884259,9000
SYN_SWD_01,739829.9999884259,8800
SYN_SWD_01,739860.9999884259,9000
SYN_SWD_01,739890.9999884259,9600
SYN_SWD_01,739921.9999884259,10200
SYN_SWD_01,739951.9999884259,10800
SYN_SWD_01,739982.9999884259,11000
